sku,department,category,brand,name,image_1,image_2,image_3,image_4,correct_images
1014968,Impresión,Scanner,KODAK," Escaner Kodak S2050 Automatico",https://sedvirtual.sedcolombia.com.co/stockimages/KODAK-1014968-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/KODAK-1014968-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/KODAK-1014968-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/KODAK-1014968-4.jpg,0
1015049,Impresión,Scanner,KODAK,"Escaner Kodak S2070",https://sedvirtual.sedcolombia.com.co/stockimages/KODAK-1015049-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/KODAK-1015049-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/KODAK-1015049-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/KODAK-1015049-4.jpg,0
1015189,Impresión,Scanner,KODAK,"Escaner Kodak S2080w",https://sedvirtual.sedcolombia.com.co/stockimages/KODAK-1015189-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/KODAK-1015189-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/KODAK-1015189-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/KODAK-1015189-4.jpg,0
1015866,Impresión,Scanner,KODAK,"Kit de Consumibles Escaner Kodak S2050/70/60W/80W",https://sedvirtual.sedcolombia.com.co/stockimages/KODAK-1015866-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/KODAK-1015866-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/KODAK-1015866-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/KODAK-1015866-4.jpg,0
12K00046LS,Computadores,PC's,LENOVO,"AIO Lenovo NEO 30A  24' Intel i5-13420H 16G 512GB SSD Windows 11P 1Y",https://sedvirtual.sedcolombia.com.co/stockimages/LENOVO-12K00046LS-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/LENOVO-12K00046LS-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/LENOVO-12K00046LS-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/LENOVO-12K00046LS-4.jpg,0
12K9005ELS,Computadores,PC's,LENOVO,"AIO Lenovo NEO 50A  24' Intel i7-13700H 16G 512GB SSD Windows 11P 1Y",https://sedvirtual.sedcolombia.com.co/stockimages/LENOVO-12K9005ELS-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/LENOVO-12K9005ELS-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/LENOVO-12K9005ELS-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/LENOVO-12K9005ELS-4.jpg,0
161-BBPH,Servidores,Discos,DELL,"Disco servidor Dell 4TB Hard Drive NLSAS 7.2K RPM 12Gbps 512n 3.5in Hot-plug",https://sedvirtual.sedcolombia.com.co/stockimages/DELL-161-BBPH-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/DELL-161-BBPH-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/DELL-161-BBPH-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/DELL-161-BBPH-4.jpg,0
161-BBZP,Servidores,Discos,DELL,"Disco servidor Dell 1 TB Hard Drive SATA 6Gbps 7.2K 512e 3.5in cable customer kit","https://sedvirtual.sedcolombia.com.co/stockimages/Servidores-Disco HDD 1 TB Hard Drive SATA-Disco-1TB-7.2K-3.5-SATA-DELL-161-BBZP-1.jpg","https://sedvirtual.sedcolombia.com.co/stockimages/Servidores-Disco HDD 1 TB Hard Drive SATA-Disco-1TB-7.2K-3.5-SATA-DELL-161-BBZP-2.jpg","https://sedvirtual.sedcolombia.com.co/stockimages/Servidores-Disco HDD 1 TB Hard Drive SATA-Disco-1TB-7.2K-3.5-SATA-DELL-161-BBZP-3.jpg","https://sedvirtual.sedcolombia.com.co/stockimages/Servidores-Disco HDD 1 TB Hard Drive SATA-Disco-1TB-7.2K-3.5-SATA-DELL-161-BBZP-4.jpg",0
161-BCFV,Servidores,Discos,DELL,"Disco servidor Dell 2.4TB SAS 10K  3.5",https://sedvirtual.sedcolombia.com.co/stockimages/DELL-161-BCFV-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/DELL-161-BCFV-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/DELL-161-BCFV-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/DELL-161-BCFV-4.jpg,0
1MVRG,Computadores,Portátiles,DELL,"Portátil Dell 3450 Latitude 14' Intel I5-1335U 8GB 512SSD Windows 11 Pro 1Y",https://sedvirtual.sedcolombia.com.co/stockimages/DELL-1MVRG-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/DELL-1MVRG-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/DELL-1MVRG-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/DELL-1MVRG-4.jpg,0
1VD87A#B1K,Impresión,"Impresora Gran Formato",HP,"Impresora PostScript de 44' HP DesignJet T1700",https://sedvirtual.sedcolombia.com.co/stockimages/HP-1VD87AB1K-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-1VD87AB1K-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-1VD87AB1K-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-1VD87AB1K-4.jpg,0
1YXMR,Computadores,Portátiles,DELL,"Portátil Dell 7450 Latitude 14' Intel Ultra 7 165U 16GB 512SSD Windows 11 Pro 3Y",https://sedvirtual.sedcolombia.com.co/stockimages/DELL-1YXMR-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/DELL-1YXMR-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/DELL-1YXMR-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/DELL-1YXMR-4.jpg,0
20519000027LX,Computadores,Portátiles,COMPUMAX,"Portátil Compumax Onix Series 15,6' Ryzen 3-5425U 8GB 500GB SSD M.2 Linux (Ubuntu) 1Y",https://sedvirtual.sedcolombia.com.co/stockimages/COMPUMAX-20519000027LX-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/COMPUMAX-20519000027LX-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/COMPUMAX-20519000027LX-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/COMPUMAX-20519000027LX-4.jpg,0
20519000037WP,Computadores,Portátiles,COMPUMAX,"Portátil Compumax Onix Series 15,6' Ryzen 5-5500U 16GB 500GB SSD M.2 Windows 11 Pro 1Y",https://sedvirtual.sedcolombia.com.co/stockimages/COMPUMAX-20519000037WP-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/COMPUMAX-20519000037WP-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/COMPUMAX-20519000037WP-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/COMPUMAX-20519000037WP-4.jpg,0
210-BDQH,Accesorios,,DELL,"Docking Station Dell WD22TB4 Thunderbolt",https://sedvirtual.sedcolombia.com.co/stockimages/DELL-210-BDQH-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/DELL-210-BDQH-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/DELL-210-BDQH-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/DELL-210-BDQH-4.jpg,0
21FD000XLM,Computadores,Workstation,LENOVO,"Portatil Lenovo P16v 16' Intel i7-1360H 16GB 1TB SSD Windows 11 Pro 1Y",https://sedvirtual.sedcolombia.com.co/stockimages/LENOVO-21FD000XLM-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/LENOVO-21FD000XLM-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/LENOVO-21FD000XLM-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/LENOVO-21FD000XLM-4.jpg,0
21G3000CLM,Computadores,Workstation,LENOVO,"Portátil Lenovo P14s 14' Intel Ultra 7 155H 16GB 512 SSD 4G Windows 11 Pro 1Y","https://sedvirtual.sedcolombia.com.co/stockimages/LENOVO-21G3000CLM -1.JPG","https://sedvirtual.sedcolombia.com.co/stockimages/LENOVO-21G3000CLM -2.JPG","https://sedvirtual.sedcolombia.com.co/stockimages/LENOVO-21G3000CLM -3.JPG","https://sedvirtual.sedcolombia.com.co/stockimages/LENOVO-21G3000CLM -4.JPG",0
