sku,department,category,brand,name,image_1,image_2,image_3,image_4,correct_images
1015049,Impresión,Scanner,KODAK," Escaner Kodak S2070",,,,https://sedvirtual.sedcolombia.com.co/stockimages/KODAK-1015049-4.jpg,3
1015114,Impresión,Scanner,KODAK,"Escaner Kodak S2060w",,,,,4
11SW000KLS,Computadores,PC's,LENOVO,"PC SFF Lenovo TC Neo 50s Intel i5-12400 8GB DD 512GB SSD W11P 1Y",,,,,4
11T4003HLS,Computadores,PC's,LENOVO,"PC Tiny Lenovo TC M70q Intel I7-12700T 16GB 512GB SSD Windows 11 Pro",,,,,4
161-BBPH,Servidores,Discos,DELL,"Disco servidor Dell 4TB Hard Drive NLSAS 7.2K RPM 12Gbps 512n 3.5in Hot-plug",https://sedvirtual.sedcolombia.com.co/stockimages/DELL-161-BBPH-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/DELL-161-BBPH-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/DELL-161-BBPH-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/DELL-161-BBPH-4.jpg,0
161-BBZP,Servidores,Discos,DELL,"Disco servidor Dell 1 TB Hard Drive SATA 6Gbps 7.2K 512e 3.5in cable customer kit","https://sedvirtual.sedcolombia.com.co/stockimages/Servidores-Disco HDD 1 TB Hard Drive SATA-Disco-1TB-7.2K-3.5-SATA-DELL-161-BBZP-1.jpg","https://sedvirtual.sedcolombia.com.co/stockimages/Servidores-Disco HDD 1 TB Hard Drive SATA-Disco-1TB-7.2K-3.5-SATA-DELL-161-BBZP-2.jpg","https://sedvirtual.sedcolombia.com.co/stockimages/Servidores-Disco HDD 1 TB Hard Drive SATA-Disco-1TB-7.2K-3.5-SATA-DELL-161-BBZP-3.jpg","https://sedvirtual.sedcolombia.com.co/stockimages/Servidores-Disco HDD 1 TB Hard Drive SATA-Disco-1TB-7.2K-3.5-SATA-DELL-161-BBZP-4.jpg",0
161-BCHF,Servidores,Discos,DELL,"Disco servidor Dell 2.4TB SAS 10K  2.5",https://sedvirtual.sedcolombia.com.co/stockimages/DELL-161-BCHF-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/DELL-161-BCHF-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/DELL-161-BCHF-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/DELL-161-BCHF-4.jpg,0
1960988,Impresión,Scanner,KODAK,"Escaner Kodak Scanmate i940",,,,,4
1E7D6AA,Accesorios,Morrales,HP,"Maleta HP 15.6'",,,,https://sedvirtual.sedcolombia.com.co/stockimages/HP-1E7D6AA-4.jpg,3
20G05A#BGJ,Impresión,Scanner,HP,"Escáner HP Pro 2600 f1",,,,,4
20G08A#BGJ,Impresión,Scanner,HP,"Escáner HP ScanJet Enterprise FlowN6600 fnw1",https://sedvirtual.sedcolombia.com.co/stockimages/HP-20G08A#BGJ-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-20G08A#BGJ-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-20G08A#BGJ-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-20G08A#BGJ-4.jpg,0
21FD000TLM,Computadores,Workstation,LENOVO,"Portátil Ws Lenovo P16v 16' Intel i7 16GB 1TB SSD Windows 11 Pro",,,,,4
21FD000YLM,Computadores,Workstation,LENOVO,"Portatil Lenovo P16v 16' Intel i7-1360H 16GB 1TB SSD Windows 11 Pro 1Y",,,,,4
21FE0037LM,Computadores,Workstation,LENOVO,"Portatil Lenovo P16v 16' Ryzen 7 7840HS 16GB 1TB SSD Windows 11 Pro 1Y",,,,,4
21H8000HLM,Computadores,Portátiles,LENOVO,"Portátil Thinkpad L15  15.6' AMD Ryzen 7 PRO 7730U 16GB 512GB SSD W11P  3Y",,,,,4
21HG0016LM,Computadores,Workstation,LENOVO,"Portatil Lenovo P14s 14' Intel i7-1360P 16GB 512SSD Windows 11 Pro 3Y",,,,,4
21HL0013LM,Computadores,Workstation,LENOVO,"Portatil Lenovo P16s 16' Core i7  32GB 512 SSD Windows 11 Pro 1Y",,,,,4
21KJ005BLM,Computadores,Portátiles,LENOVO,"Portátil Lenovo ThinkBook 14  14' AMD Ryzen 5 7530U 16GB 512GB SSD W11P  1Y",,,,,4
22B3HM,"Televisores y Monitores",Monitores,AOC,"Monitor AOC 21.5' VA LED Full HD 75Hz Base Fija",,,,,4
24B3HM,"Televisores y Monitores",Monitores,AOC,"Monitor AOC 23.8' 24B3HM LED Full HD 75Hz",,,,,4
27B3HM,"Televisores y Monitores",Monitores,AOC,"Monitor profesional AOC 27' VA Base Fija",,,,,4
29R0500,Impresión,Multifuncional,RICOH,"Impresora MTF Ricoh Monocromatica M 400FW",,,,https://sedvirtual.sedcolombia.com.co/stockimages/RICOH-29R0500-4.jpg,3
2Y9H2A#B1K,Impresión,Multifuncional,HP,"Impresora MFP HP DesignJet T850 de 36 pulgadas",https://sedvirtual.sedcolombia.com.co/stockimages/HP-2Y9H2A#B1K-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-2Y9H2A#B1K-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-2Y9H2A#B1K-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-2Y9H2A#B1K-4.jpg,0
2Y9H3A#B1K,Impresión,Multifuncional,HP,"Impresora MFP HP DesignJet T950 de 36 pulgadas",https://sedvirtual.sedcolombia.com.co/stockimages/HP-2Y9H3A#B1K-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-2Y9H3A#B1K-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-2Y9H3A#B1K-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-2Y9H3A#B1K-4.jpg,0
2Z629A#BGJ,Impresión,Multifuncional,HP,"Impresora HP LaserJet Pro MFP 4103fdw",https://sedvirtual.sedcolombia.com.co/stockimages/HP-2Z629A#BGJ-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-2Z629A#BGJ-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-2Z629A#BGJ-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/HP-2Z629A#BGJ-4.jpg,0
